"parkrecordid","recordcode","recordstate","d","entryid","exitid","entrydatasource","exitdatasource","entrytime","exittime","parkid","berthid","carid","platenumber","cartype","carcolor","shouldpay","actualpay","agiopay","illegal","createdtime","operationid","updatedtime","parktype","areaid","parentparkid","tag","mq_time","etl_time","production_time","state","dt"
"1646531930032522320","3f3c42f377d6414ea3dcf7e3d9d85583","0","\N","1646531930020993847","1646994783038415369","11","11","2019-10-05 13:55:10","2019-10-10 16:32:01","1636860605594472868","1636861547057431120","1979953194589524224","甘M3K077","0","\N","0","0","0","\N","2019-10-05 14:00:13","1593521378449416192","2019-10-10 16:37:03","1","281479272005632","1636857280853578132","update","1570696623898","2019-10-11 00:56:51","1570696623887","1","20191010"
"1646531933894253836","4eb1bda3732e4503aac938b0c68b4f53","0","\N","1646531933882884683","1646967947257523714","11","11","2019-10-05 13:55:15","2019-10-10 09:25:10","1637302323401856515","1637302348290902366","1966446353733685632","京NQ9A78","0","\N","0","0","0","\N","2019-10-05 14:00:17","1593521378449416192","2019-10-10 09:30:41","1","281479272005632","1637291840635540865","update","1570671041895","2019-10-11 00:56:51","1570671041890","1","20191010"
"1646533249470209877","3f0a5d07aefd4ceabe7c6ea7d755a611","0","\N","1646533231515620652","1646970788136167370","12","12","2019-10-05 14:15:49","2019-10-10 10:14:47","1637205703121310585","1637205919633428150","1966432609626509824","京KA8169","0","\N","0","0","0","\N","2019-10-05 14:21:11","1593521378449416192","2019-10-10 10:15:50","1","281479272005632","1637203004259701620","update","1570673750931","2019-10-11 00:56:51","1570673750925","1","20191010"
"1646535878558517005","f6223e6b9ede4310bbfbddc88c988d34","0","\N","1646535878546118487","1646957705720322347","11","11","2019-10-05 14:57:54","2019-10-10 06:42:41","1636662553509236800","1636662570587442208","1966410644635209984","京FBA527","0","\N","0","0","0","\N","2019-10-05 15:02:58","1593521378449416192","2019-10-10 06:47:44","1","281479272005632","1636656321351259008","update","1570661264221","2019-10-11 00:56:51","1570661264201","1","20191010"
"1646539939033989560","938f71740daf4cb982ba61743a9eef47","0","\N","1646539939023508711","1646956540611876216","12","12","2019-10-05 16:02:26","2019-10-10 06:28:45","1637372884035442383","1637372910566559647","1966419482073682304","京HC0888","0","\N","0","0","0","\N","2019-10-05 16:07:31","1593521378449416192","2019-10-10 06:29:13","1","281479272071168","1637371616380458681","update","1570660153093","2019-10-11 00:56:51","1570660153077","1","20191010"
"1646544717729330940","2477c759d1fb408289f5325fe7deda61","0","\N","1646544717720933923","1646968932204881546","9","9","2019-10-05 16:43:00","2019-10-10 09:44:45","1622903066501071596","1622903083756422427","1966428657723887872","京JN6347","0","\N","0","0","0","\N","2019-10-05 17:23:28","1593521378449416192","2019-10-10 09:46:10","1","281479271809024","1621247231206113540","update","1570671970618","2019-10-11 00:56:51","1570671970599","1","20191010"
"1646545068508222196","6d8fa127f3224a23a16e1a00f7f6d0b9","0","\N","1646545062415114320","1646970497580999844","12","9","2019-10-05 17:23:52","2019-10-10 09:58:06","1636128554653192757","1636735433092812798","1966446895220330752","京N6EZ17","0","\N","0","0","0","\N","2019-10-05 17:29:03","1593521378449416192","2019-10-10 10:11:03","1","281479272005632","1636128449978044980","update","1570673463483","2019-10-11 00:56:51","1570673463468","1","20191010"
"1646545635590706165","250e52f930334409ba3729f75485aa1c","0","\N","1646545635579339830","1646959990145897900","12","12","2019-10-05 17:33:00","2019-10-10 07:22:03","1621236939902435495","1622355138882408623","1966446213396467584","京NMY074","0","\N","0","0","0","\N","2019-10-05 17:38:03","1593521378449416192","2019-10-10 07:24:02","1","281479271809024","1621236720895803558","update","1570663442804","2019-10-11 00:56:51","1570663442797","1","20191010"
"1646547953818357428","a54278cac6944f4598cad31071dd9e44","0","\N","1646547953801583785","1646963799769296398","11","11","2019-10-05 18:09:52","2019-10-10 08:19:33","1621724205249495054","1622061737156896671","1966445801624605056","京NA04R8","0","\N","0","0","0","\N","2019-10-05 18:14:54","1593521378449416192","2019-10-10 08:24:35","1","281479271809024","1621239431020167350","update","1570667075964","2019-10-11 00:56:51","1570667075954","1","20191010"
"1646548518887397532","7ada0a018b4d481d8bc63446b43c8fa0","0","\N","1646548518876045277","1646969826494459502","12","9","2019-10-05 18:18:49","2019-10-10 09:07:22","1636854507057582394","1636854702314013728","1966455527848709888","京P195Z3","0","\N","0","0","0","\N","2019-10-05 18:23:53","1593521378449416192","2019-10-10 10:00:23","1","281479272005632","1636854458792677689","update","1570672823474","2019-10-11 00:56:51","1570672823464","1","20191010"
